Variedad,DistanciaEntreHileras_m,SemillasPormLineal,DistanciaEntrePlantas_m,Densidad_Plantasha,Epoca,Repeticion,Vainas_planta,Peso1000semillas_g,NGranos_m2,Rendimiento_Kgha
5947,"0,45",16,625,355556,1,2,"55,5","164,5","2706,4","5526,5"
5947,"0,45",16,625,355556,1,3,"55,0","169,4","2410,0","4354,3"
1163,"0,45",8,125,177778,1,1,"72,0","166,2","2177,7","3177,8"
1163,"0,45",8,125,177778,1,2,"75,0","179,9","1425,6","2172,5"
1163,"0,45",8,125,177778,1,3,"62,5","178,2","2059,9","4404,2"
1163,"0,45",12,"833,333,333,333,333",266667,1,1,"73,5","168,8","2251,3","4510,8"
1163,"0,45",12,"833,333,333,333,333",266667,1,2,"68,0","162,8","1179,5","2439,5"
1163,"0,45",12,"833,333,333,333,333",266667,1,3,"85,0","172,3","1986,0","3695,6"
1163,"0,45",16,625,355556,1,1,"52,0","159,2","2476,6","3998,5"
1163,"0,45",16,625,355556,1,2,"55,0","148,1","1449,0","2687,9"
1163,"0,45",16,625,355556,1,3,"52,5","167,1","2109,5","4377,0"
6563IPRO,"0,45",8,125,177778,2,1,"56,7","136,1","2144,7","2627,0"
6563IPRO,"0,45",8,125,177778,2,2,"38,7","137,8","2070,8","2702,3"
6563IPRO,"0,45",8,125,177778,2,3,"47,7","139,4","1998,8","2572,0"
6563IPRO,"0,45",12,"833,333,333,333,333",266667,2,1,"40,3","126,4","1352,4","1884,7"
6563IPRO,"0,45",12,"833,333,333,333,333",266667,2,2,"31,3","134,8","1533,3","2146,1"
6563IPRO,"0,45",12,"833,333,333,333,333",266667,2,3,"35,8","130,6","1444,8","2017,5"
6563IPRO,"0,45",16,625,355556,2,1,"37,3","129,3","1720,4","3139,3"
6563IPRO,"0,45",16,625,355556,2,2,"28,7","104,1","1388,4","1875,2"
6563IPRO,"0,45",16,625,355556,2,3,"33,0","116,9","1574,5","2488,1"
7062,"0,45",8,125,177778,2,1,"78,3","171,8","1419,5","2509,1"
7062,"0,45",8,125,177778,2,2,"77,7","160,4","1580,9","2725,7"
7062,"0,45",8,125,177778,2,3,"44,3","175,0","1317,8","2863,0"
7062,"0,45",12,"833,333,333,333,333",266667,2,1,"76,3","142,6","2255,8","3406,6"
7062,"0,45",12,"833,333,333,333,333",266667,2,2,"51,3","152,8","1929,9","3537,8"
7062,"0,45",12,"833,333,333,333,333",266667,2,3,"61,7","168,8","1353,9","4255,3"
7062,"0,45",16,625,355556,2,1,"56,3","167,8","1810,9","3976,2"
7062,"0,45",16,625,355556,2,2,"61,7","155,5","1938,8","5049,0"
7062,"0,45",16,625,355556,2,3,"34,7","162,9","1682,9","2903,5"
5907 IPRO,"0,45",8,125,177778,2,1,"48,2","114,3","1470,9","1458,6"
5907 IPRO,"0,45",8,125,177778,2,2,"62,1","115,6","1042,2","1204,6"
5907 IPRO,"0,45",8,125,177778,2,3,"76,0","133,6","1375,6","2645,8"
5907 IPRO,"0,45",12,"833,333,333,333,333",266667,2,1,"69,0","132,8","1733,9","2346,8"
5907 IPRO,"0,45",12,"833,333,333,333,333",266667,2,2,"49,9","120,0","936,5","2697,0"
5907 IPRO,"0,45",12,"833,333,333,333,333",266667,2,3,"30,7","130,6","1467,9","2741,4"
5907 IPRO,"0,45",16,625,355556,2,1,"40,3","115,5","2323,0","3479,7"
5907 IPRO,"0,45",16,625,355556,2,2,"48,1","114,7","1434,9","2961,3"
5907 IPRO,"0,45",16,625,355556,2,3,"56,0","123,0","1447,2","2684,2"
6505 B,"0,45",8,125,177778,2,1,"61,3","104,8","1895,3","1788,0"
6505 B,"0,45",8,125,177778,2,2,"66,7","102,8","1543,6","1904,5"
6505 B,"0,45",8,125,177778,2,3,"45,7","125,6","1719,4","1846,2"
6505 B,"0,45",12,"833,333,333,333,333",266667,2,1,"54,0","113,5","1147,9","2052,0"
6505 B,"0,45",12,"833,333,333,333,333",266667,2,2,"40,3","111,0","1112,2","1904,5"
6505 B,"0,45",12,"833,333,333,333,333",266667,2,3,"41,3","118,7","1183,6","2199,5"
6505 B,"0,45",16,625,355556,2,1,"32,3","115,7","1887,9","2759,9"
6505 B,"0,45",16,625,355556,2,2,"31,3","110,0","1458,9","1909,9"
6505 B,"0,45",16,625,355556,2,3,"28,3","153,0","986,6","1672,1"
5959,"0,45",8,125,177778,2,1,"61,0","147,8","900,5","2229,0"
5959,"0,45",8,125,177778,2,2,"58,3","135,9","1593,0","2135,8"
5959,"0,45",8,125,177778,2,3,"55,7","133,7","1756,7","2415,7"
5959,"0,45",12,"833,333,333,333,333",266667,2,1,"48,0","128,9","2074,3","5553,0"
5959,"0,45",12,"833,333,333,333,333",266667,2,2,"49,2","134,9","1999,4","2912,7"
5959,"0,45",12,"833,333,333,333,333",266667,2,3,"50,3","152,4","2036,9","4232,8"
5959,"0,45",16,625,355556,2,1,"39,7","117,6","2242,3","4806,3"
5959,"0,45",16,625,355556,2,2,"53,2","134,3","2101,6","3387,2"
5959,"0,45",16,625,355556,2,3,"66,7","138,1","1050,8","1727,0"
5909,"0,45",8,125,177778,2,1,"60,0","103,2","2075,5","2336,0"
5909,"0,45",8,125,177778,2,2,"55,0","115,3","1825,6","2262,8"
5909,"0,45",8,125,177778,2,3,"57,3","135,9","1289,0","1827,9"
5909,"0,45",12,"833,333,333,333,333",266667,2,1,"40,0","106,3","1550,1","1711,6"
5909,"0,45",12,"833,333,333,333,333",266667,2,2,"39,5","122,5","1234,0","1813,7"
5909,"0,45",12,"833,333,333,333,333",266667,2,3,"39,0","156,5","767,8","1148,2"
5909,"0,45",16,625,355556,2,1,"35,0","117,4","1888,4","2279,9"
5909,"0,45",16,625,355556,2,2,"39,0","125,7","1527,0","2322,4"
5909,"0,45",16,625,355556,2,3,"36,3","145,5","1519,7","2041,0"
6410,"0,45",8,125,177778,2,1,"105,3","113,9","2183,4","2888,8"
6410,"0,45",8,125,177778,2,2,"51,0","116,6","1850,0","2426,5"
6410,"0,45",8,125,177778,2,3,"79,3","119,2","1533,6","1964,8"
6410,"0,45",12,"833,333,333,333,333",266667,2,1,"59,3","105,2","2526,1","2989,5"
6410,"0,45",12,"833,333,333,333,333",266667,2,2,"43,0","110,0","1980,7","3016,6"
6410,"0,45",12,"833,333,333,333,333",266667,2,3,"58,3","114,8","2253,4","3003,1"
6410,"0,45",16,625,355556,2,1,"45,3","119,2","2222,9","2912,6"
6410,"0,45",16,625,355556,2,2,"30,7","130,4","1876,9","3233,0"
6410,"0,45",16,625,355556,2,3,"64,3","119,4","1647,7","2162,8"
6262,"0,45",8,125,177778,2,1,"97,0","111,6","2266,0","2335,2"
6262,"0,45",8,125,177778,2,2,"99,0","117,9","1560,9","2136,5"
6262,"0,45",8,125,177778,2,3,"97,3","133,7","1281,6","1990,3"
6262,"0,45",12,"833,333,333,333,333",266667,2,1,"81,0","108,4","1892,2","2110,4"
6262,"0,45",12,"833,333,333,333,333",266667,2,2,"78,0","132,4","1699,3","2642,1"
6262,"0,45",12,"833,333,333,333,333",266667,2,3,"79,7","125,4","1597,2","2276,5"
6262,"0,45",16,625,355556,2,1,"50,0","120,2","2352,5","3131,5"
6262,"0,45",16,625,355556,2,2,"48,0","120,7","1808,5","2782,6"
6262,"0,45",16,625,355556,2,3,"48,0","121,0","1725,9","1928,3"
R19,"0,45",8,125,177778,2,1,"46,3","130,4","1707,7","2167,4"
R19,"0,45",8,125,177778,2,2,"48,7","138,6","1923,3","3199,8"
R19,"0,45",8,125,177778,2,3,"44,0","15,2","7882,7","1692,9"
R19,"0,45",12,"833,333,333,333,333",266667,2,1,"42,7","137,4","1570,3","2177,8"
R19,"0,45",12,"833,333,333,333,333",266667,2,2,"42,3","158,4","1564,0","3074,6"
R19,"0,45",12,"833,333,333,333,333",266667,2,3,"49,7","137,9","1432,4","4266,0"
R19,"0,45",16,625,355556,2,1,"39,3","143,0","1775,2","2748,0"
R19,"0,45",16,625,355556,2,2,"33,7","126,0","2289,8","3676,0"
R19,"0,45",16,625,355556,2,3,"58,3","137,9","1432,4","5688,0"
6806,"0,45",8,125,177778,2,1,"45,7","132,9","1324,0","2223,0"
6806,"0,45",8,125,177778,2,2,"44,7","132,9","1308,3","1625,5"
6806,"0,45",8,125,177778,2,3,"46,3","124,9","1360,0","1588,4"
6806,"0,45",12,"833,333,333,333,333",266667,2,1,"39,0","125,0","1388,7","2082,7"
6806,"0,45",12,"833,333,333,333,333",266667,2,2,"35,7","128,6","1252,8","1567,4"
6806,"0,45",12,"833,333,333,333,333",266667,2,3,"30,3","138,7","1158,9","1771,1"
6806,"0,45",16,625,355556,2,1,"37,3","132,0","1393,6","2429,8"
6806,"0,45",16,625,355556,2,2,"32,7","158,6","801,2","1463,9"
6806,"0,45",16,625,355556,2,3,"46,7","132,1","1018,9","2691,5"
6205B,"0,45",8,125,177778,2,1,"59,0","111,4","1851,9","1880,9"
6205B,"0,45",8,125,177778,2,2,"56,0","109,2","2084,4","2445,3"
6205B,"0,45",8,125,177778,2,3,"57,7","118,0","1708,0","2133,9"
6205B,"0,45",12,"833,333,333,333,333",266667,2,1,"63,0","115,5","2212,1","2628,7"
6205B,"0,45",12,"833,333,333,333,333",266667,2,2,"64,5","114,1","2085,4","2448,1"
6205B,"0,45",12,"833,333,333,333,333",266667,2,3,"64,0","110,5","2063,4","2565,2"
6205B,"0,45",16,625,355556,2,1,"55,0","115,1","2082,0","2783,7"
6205B,"0,45",16,625,355556,2,2,"54,0","120,1","2001,9","3120,2"
6205B,"0,45",16,625,355556,2,3,"55,7","115,7","1625,2","1948,6"
5958,"0,45",8,125,177778,2,1,"82,0","129,7","1858,5","2314,1"
5958,"0,45",8,125,177778,2,2,"81,5","120,3","1074,3","1723,4"
5958,"0,45",8,125,177778,2,3,"81,0","127,4","1310,4","2073,1"
5958,"0,45",12,"833,333,333,333,333",266667,2,1,"67,0","124,4","2418,4","3281,3"
5958,"0,45",12,"833,333,333,333,333",266667,2,2,"70,0","126,1","1245,2","1949,0"
